149|8|76821
167|14|137071
182|21|69558
40|7|12179
209|16|428213
412|19|104389
121|21|26418
294|8|62070
157|5|5472
88|6|13379
27|15|512300
190|8|65245
218|12|262870
46|12|286584
99|23|1535
474|16|327395
171|11|117431
178|8|60364
45|21|51176
471|3|31
401|9|117351
294|19|174660
171|16|186542
179|16|455047
46|7|22948
60|1|70
471|8|29074
204|5|4914
157|14|414686
474|11|237171
218|7|27786
178|19|152892
401|18|354833
160|1|8874
121|14|228554
66|6|8413
182|14|402891
157|19|232699
45|3|2
473|7|8484
268|4|7
27|17|525499
412|8|35975
99|9|119988
477|15|22934
45|12|263964
178|1|207
27|6|9708
160|19|364459
218|21|76752
88|15|361991
171|2|3
268|19|158818
46|21|73363
294|1|18
401|0|2277
60|19|114546
258|8|47883
272|22|17892
122|16|279490
147|11|338585
68|14|299028
317|22|27289
129|22|43270
68|5|44
82|7|27294
35|16|113867
122|11|192654
147|0|10222
61|2|14
205|6|70
160|8|185781
35|13|92940
204|12|370082
60|8|30603
474|2|6
258|22|68553
179|9|161406
121|7|9640
39|5|74
147|18|367948
258|1|12711
39|18|262151
61|16|367170
272|15|287222
475|22|25186
4|10|177195
273|21|47753
343|7|13154
166|20|101257
129|9|126091
174|20|82873
220|6|5625
4|1|111
202|11|221875
472|17|215891
372|17|264962
11|0|13946
220|13|179016
174|15|179171
343|12|190527
249|22|34420
82|14|328710
122|2|7
220|16|221651
205|15|83579
61|11|278490
208|0|20417
343|17|253228
475|13|280284
166|13|244758
317|8|63693
208|23|36129
273|12|233128
129|0|131
476|19|14865
66|16|470755
40|2|4
274|16|284941
30|20|174853
412|22|19546
182|16|473917
340|10|208591
202|20|96161
167|19|141707
149|13|343894
149|6|13810
473|18|188274
340|1|4815
472|8|31775
11|9|131744
30|10|294565
174|6|129
209|3|2104
249|15|416298
476|8|38
372|8|54313
202|2|3618
149|20|128369
167|10|78060
340|19|217525
40|11|129900
4|23|1882
209|20|145596
372|7|26925
274|9|79037
470|17|136876
477|16|23645
190|12|258485
294|12|261516
46|16|377409
157|1|6903
178|4|72
401|13|274285
60|22|5353
218|8|53485
268|22|22850
45|17|313833
27|3|1690
171|15|171392
88|10|203952
46|11|239619
471|4|85
401|22|64360
204|1|8718
218|3|105
178|15|326817
179|20|132016
474|23|2239
157|10|228544
99|16|358231
160|5|7201
27|8|86275
88|1|7719
171|20|72346
190|7|24468
294|23|42
121|18|183490
470|10|53994
268|0|707
99|13|343473
477|11|12256
182|2|134
473|11|145185
66|2|2479
40|16|237584
27|21|89266
88|19|237707
45|8|52682
294|5|5
471|22|16930
401|4|3
268|15|341578
66|13|415435
171|6|25
218|17|360447
160|23|36160
68|10|160896
272|10|171540
61|21|88377
475|19|178274
147|15|414291
39|23|1117
258|4|3084
272|17|286277
317|18|210832
122|23|1769
147|4|1603
35|20|51324
258|15|242375
82|3|18
68|1|55
121|11|186961
258|18|255499
39|1|33
160|12|737542
178|22|17860
60|4|9
179|13|414727
471|13|143914
474|14|304415
204|8|79275
39|14|222896
147|22|39809
190|17|334771
179|2|1902
35|6|2
204|23|31112
273|9|81717
220|2|4
129|13|328922
476|22|250
343|3|43
317|13|232604
208|18|517421
166|8|43038
273|18|238239
166|19|172693
11|4|1876
174|19|131411
343|8|38266
220|9|64517
4|13|293300
472|21|50994
122|14|224062
208|4|3537
475|1|1
61|7|34936
129|19|243435
82|10|212662
205|11|66078
208|11|521921
273|0|15
129|4|36
68|23|1566
317|4|1525
205|20|69068
82|21|52764
